Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,superlinear,adaptive_forward,0.01,1.8210036754608154,9,1.0405911420354859,5.445061393976414e-06,1.3854966544141527,True
fixed,superlinear,adaptive_forward,0.0001,2.348177909851074,11,2.243666196432244e-05,6.630013346931139e-08,1.3647500683076212,True
fixed,superlinear,adaptive_forward,1e-06,2.605889320373535,12,5.625128890402772e-10,2.5835865450136003e-06,1.0060950576756362,True
fixed,superlinear,adaptive_forward,1e-08,20.089314937591553,11,162.40072343281918,161.40969793440547,nan,False
fixed,superlinear,adaptive_forward,1e-10,20.101827144622803,22,3.980274852037084,6.899814308347692,nan,False
fixed,superlinear,adaptive_forward,1e-12,20.099499225616455,99,0.004031368970031771,0.03179727356573891,nan,False
fixed,superlinear,adaptive_backward,0.01,20.100481748580933,110,0.05597034057094919,1.9768235724090484,nan,False
fixed,superlinear,adaptive_backward,0.0001,20.089751720428467,81,3.1181131856670945e-06,0.003753055954929775,nan,False
fixed,superlinear,adaptive_backward,1e-06,20.08868646621704,56,5.4994852925827004e-11,1.6059962196369804e-05,nan,False
fixed,superlinear,adaptive_backward,1e-08,20.08999538421631,15,586.0554470144866,299.37919697507436,nan,False
fixed,superlinear,adaptive_backward,1e-10,20.09555149078369,22,0.04277008846852329,0.4391418558292804,nan,False
fixed,superlinear,adaptive_backward,1e-12,20.064420223236084,74,0.005860307390422063,0.10571457302139683,nan,False
fixed,superlinear,adaptive_central,0.01,20.104135274887085,58,3.0165394257704773e-06,0.013948382200313773,nan,False
fixed,superlinear,adaptive_central,0.0001,3.595949411392212,11,2.0736914841518393e-15,5.782708430650893e-08,1.6132889990394235,True
fixed,superlinear,adaptive_central,1e-06,4.1722190380096436,12,1.5191000751934774e-12,2.4905941885854035e-06,0.9960935078131828,True
fixed,superlinear,adaptive_central,1e-08,20.078755378723145,14,6.041937257836419e-12,2.7807252238858415e-06,nan,False
fixed,superlinear,adaptive_central,1e-10,20.139592170715332,6,1.7357619014564092,4.434468678880026,nan,False
fixed,superlinear,adaptive_central,1e-12,20.035550117492676,47,0.01916340595721818,0.09957819129592133,nan,False
fixed,superlinear,exact,nan,0.15765380859375,12,7.081417918687957e-12,2.5634698471590055e-06,1.0000858759271456,True
fixed,superlinear,forward,0.01,1.7695868015289307,9,1.0405911420354859,5.445061393976414e-06,1.3854966544141527,True
fixed,superlinear,forward,0.0001,2.306265354156494,11,2.243666196432244e-05,6.630013346931139e-08,1.3647500683076212,True
fixed,superlinear,forward,1e-06,2.542285919189453,12,5.625128890402772e-10,2.5835865450136003e-06,1.0060950576756362,True
fixed,superlinear,forward,1e-08,20.063021659851074,13,105.65085252022897,58.37021239347175,nan,False
fixed,superlinear,forward,1e-10,20.065622091293335,29,0.03836412853132274,0.17614469074070765,nan,False
fixed,superlinear,forward,1e-12,20.05665683746338,71,0.005666620560051015,0.06551248677409457,nan,False
fixed,superlinear,backward,0.01,20.047879934310913,114,0.059947412178559444,1.9622369569356535,nan,False
fixed,superlinear,backward,0.0001,20.102791786193848,85,3.536779520793947e-06,0.006087539714672767,nan,False
fixed,superlinear,backward,1e-06,20.099493980407715,63,5.305656839192578e-11,1.5546763161485222e-05,nan,False
fixed,superlinear,backward,1e-08,20.092827320098877,16,574.1673169945152,245.6834060406017,nan,False
fixed,superlinear,backward,1e-10,20.063432931900024,21,26.718617693379535,43.07363307519351,nan,False
fixed,superlinear,backward,1e-12,20.100319623947144,115,0.0020652323146596327,0.016849813222843988,nan,False
