Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,superlinear,adaptive_forward,0.01,79.6869637966156,41,0.0010525971431790421,0.0003011272806361102,nan,False
fixed,superlinear,adaptive_forward,0.0001,19.927688360214233,13,1.9548048575415756e-06,3.836301139583843e-06,0.913636836932544,True
fixed,superlinear,adaptive_forward,1e-06,85.02576303482056,12,40.3440432753454,1.7895230067234802,nan,False
fixed,superlinear,adaptive_forward,1e-08,79.72453260421753,120,1.3738314026730802,0.03876019651508423,nan,False
fixed,superlinear,adaptive_forward,1e-10,79.70222878456116,172,6.045329030376026,0.16386946594328305,nan,False
fixed,superlinear,adaptive_forward,1e-12,80.13550567626953,161,4.679161453236506,0.22349629935243556,nan,False
fixed,superlinear,adaptive_backward,0.01,79.73670077323914,73,0.0012660952573306586,0.0005416624064075632,nan,False
fixed,superlinear,adaptive_backward,0.0001,19.449764490127563,12,2.397629984061474e-06,8.742645550166454e-06,1.1613339979914872,True
fixed,superlinear,adaptive_backward,1e-06,82.37392807006836,10,41.061852920028855,2.088404385236882,nan,False
fixed,superlinear,adaptive_backward,1e-08,79.91022658348083,142,1.6061336053789994,0.05773476656808868,nan,False
fixed,superlinear,adaptive_backward,1e-10,79.89515376091003,174,4.487591327687031,0.20096750218158496,nan,False
fixed,superlinear,adaptive_backward,1e-12,79.91792321205139,191,2.7124839540315624,0.06732959271839699,nan,False
fixed,superlinear,adaptive_central,0.01,12.548957109451294,12,3.187680424449079e-06,9.793920570064123e-06,0.9885522345447775,True
fixed,superlinear,adaptive_central,0.0001,13.261903524398804,12,3.698211492863208e-06,9.604124053036135e-06,0.9826285403455397,True
fixed,superlinear,adaptive_central,1e-06,93.28453946113586,8,10.531259552261933,0.5458952832123615,nan,False
fixed,superlinear,adaptive_central,1e-08,93.59564447402954,27,1.833517747938297,0.10530468897497043,nan,False
fixed,superlinear,adaptive_central,1e-10,79.82543325424194,109,6.692805680342639,0.3408190844736207,nan,False
fixed,superlinear,adaptive_central,1e-12,79.92685008049011,109,7.276997785690735,0.3698441239781169,nan,False
fixed,superlinear,exact,nan,0.7127137184143066,22,6.623234758543709e-12,1.8612573726194047e-06,5.916089987783621,True
fixed,superlinear,forward,0.01,86.2610354423523,20,0.0012919089660340438,0.00016213641775281968,nan,False
